Title of Activity,Please identify the AFU Principle(s) most relevant to this work.,Please identify who the activity is aimed at.,What is the primary purpose of the activity?,"What support did the activity require? (e.g., money, people, equipment, advertising, partnerships, etc.)",How long has the activity been going on?,What have the outcomes been to date?,What makes the activity unique?,What challenges have been faced with the activity?,Relevant Links or References,[If Applicable] Submit Images of The Work,Identify the Type of Activity In This Submission,What is required to keep the activity ongoing?,Submitting University,Submitters Name
Age Friendly University Day 2022,"""Principle 1: To encourage the participation of older adults in all the core activities of the University, including educational and research programs."",Principle 4: To promote intergenerational learning in order to facilitate the reciprocal sharing of expertise between learners of all ages.,Principle 6: To ensure that the university’s research agenda is informed by the needs of an aging society and to promote public discourse on how higher education can better respond to the varied interests and needs of older adults.,Principle 9: To engage actively with the university’s own retired community.","Community and Organizational Partners,University Faculty,Undergraduate Students,Graduate Students,Lifelong Learners","To promote age-friendly practices in higher education, showcase collaborations across generations, and engage with the community to discuss topics on aging. ","More Funding to bring and reach more people, advertising to reach more than just the local community, volunteering to help everything run smoothly on event day",(Annual event since 2022) as of todays submission 4 years,"Strong community and campus attendance, Engagement through breakout sessions on dementia, purpose, and age-friendly communities, Partnerships highlighted between UMN, AARP, and other stakeholders.","Brings together academia, governments, nonprofits, and older adults all into one event that is centered on education and community engagement to get more information and knowledge about age friendly university ","Securing Funding, coordinating with multiple partners, and ensuring accessibility for the diverse participants",,,"Ongoing Activity (I.e., events that occur yearly, structural changes in operations))","Institutional Support, Partnerships like those with AARP and Age-Friendly Global Network MN, Volunteers, Speakers, Event Funding",University of Minnesota,Samuel Black
Age Friendly University Day 2023,"""Principle 1: To encourage the participation of older adults in all the core activities of the University, including educational and research programs."",Principle 4: To promote intergenerational learning in order to facilitate the reciprocal sharing of expertise between learners of all ages.,Principle 8: To enhance access for older adults to the university’s range of health and wellness programs and its arts and cultural activities.,Principle 6: To ensure that the university’s research agenda is informed by the needs of an aging society and to promote public discourse on how higher education can better respond to the varied interests and needs of older adults.","Lifelong Learners,Undergraduate Students,Graduate Students,University Staff,University Faculty,Community Members","To provide education, community engagement, and wellness opportunities through sessions on purpose, fraud prevention, mindfulness, and planetary health","Institutional Support, Partnerships (AARP Minnesosta, UMN Medical School, Trellis, and AFU) Volunteers, Speakers, and Event Funding",2,"Strong attendance and engagement from both older adults and campus community. Successful breakout sessions addressing health, safety, climate, and wellness. Networking opportunities through booths, alumni market, and community exhibits.","The combination of wellness activities, academic presentations, and community engagement in a single event it highlights the interdisciplinary collaboration across multiple fields of study like health, policy making, and education. ","Funding Sustainability, Accessibility for all participants, and Management of logistics for multiple sessions during the event",https://www.sph.umn.edu/research/centers/chai/policy/age-friendly-university-day/,"53039478274_2154b8b389_q.jpg (https://v5.airtableusercontent.com/v3/u/56/56/1787680800000/jQsaFlk7lnK7gM-voz6NNw/tx_9D1Qm8DqNzHteDUJsXh_bhGQJHmaXUZbsmARr5xUeuOH0f12A29_r9iIIbgSMwdqEDfZqdIWUMwWpnzM7mExK0MmeG2sKDGBXZcXHOyOxhc64Hcz3d9nSyXPP8yruDFXnofDiFIi4ydPs171nat2F0Q0LHj0QxLqrwhkjUkVQFKlZTP4Jti0enjlxWEEr/cFa2-0edbcy3zvoG96n7XitQjM1oMWVcgnYcL87X7O0),53039679645_4fbd1998b9_q.jpg (https://v5.airtableusercontent.com/v3/u/56/56/1787680800000/wiS9zdSE06znkKm-CIBX-g/3RSoatOdCvscnVWpHZfgeDrz_FJK4pVEsD913OA7M32sFygri2nPdDtL7BUiK7cRaEwUfmHzqpc1EtTdnmYTvTQaSLKDPfW816DV1YWPz6aTGgGUWOVaZI5s0ubSjiIbidu6ABAJcQFkgEQS8Hc03PEjrcsx65tzt-UoG2c6n1ZPHfxVmw3ltpCTnxhvBK96/a8NtSA8b05mSF2WBAi3Dpl2RxhvN3rYqC3OGn5eY268),53039680165_e84b5ac8e9_q.jpg (https://v5.airtableusercontent.com/v3/u/56/56/1787680800000/wEuglnab56sScVODA_oiDQ/mXTn3KwSTbbcxVu7i_E40D9p0yruFudvH4KHhGmOqLVvdR9Rv3pCSPLRKUEVr2Dz-gtsWjnH0E5AJt3VtKo7MSl-J-52X8OavRwDXuDqauxnc7dguCehzefftHu7kVXInr__5Rtkuqc_mp3UObrsoFGxrEOvS12SFIlBLqatX017dDoBCTLlRuI49neFTmPi/wfB4vXFraZ-K7VZtD0AL10aG0xCUm6VOYEmbrwU_zuk),53039754818_41cfa016e9_q.jpg (https://v5.airtableusercontent.com/v3/u/56/56/1787680800000/IyWl1LjBxdeWWmR8PNa9bQ/L5cNC3ssQqDMOLmiS_J_f14RozgHC1UblZONXNPII_DXv1ReHBl5LF-t93_g__6heHulpGI-RKsIwL78vbMMuSIzuA3X1OYdF8QHMl9nj5461KiBZ2Rzslh947jco3cGvECuddcTgCgMTJPbb8TDlRtm5fEI4iZ0j5f-_a5t6708wHypHYhTNmpSG4Wlb5ZZ/0T1YjeDYOPcUeVzaupTVM6xX6XBnUEkpu-M08_ie9dc)","Ongoing Activity (I.e., events that occur yearly, structural changes in operations))","Strong community engagement and participation, Funding to be able to put on an event that will be able to draw individuals in, and Volunteers that are committed to the cause. ",University of Minnesota,Samuel Black
Age Friendly University Day 2024,"""Principle 1: To encourage the participation of older adults in all the core activities of the University, including educational and research programs."",Principle 4: To promote intergenerational learning in order to facilitate the reciprocal sharing of expertise between learners of all ages.,Principle 6: To ensure that the university’s research agenda is informed by the needs of an aging society and to promote public discourse on how higher education can better respond to the varied interests and needs of older adults.,Principle 8: To enhance access for older adults to the university’s range of health and wellness programs and its arts and cultural activities.","Undergraduate Students,Graduate Students,Post-Graduate Students,Lifelong Learners,Community and Organizational Partners,Community Members,University Faculty","To create opportunities for learning wellness and conversion centered around aging by offering panels, keynote speaker sessions, interactive breakout discussion sessions, and community exhibits","Institutional coordination, Campus Facilities, Speakers and Facilitators, Community Partners, Event Funding, and Volunteers",3,"Consistently strong turnout and participation. New partnerships formed across academic, community, and nonprofit sectors. Participants gained practical knowledge through topics like loneliness, mindful movement, and forest bathing. ",It blends research-based discussion with interactive wellness experiences and community engagement by offering a broad range of age-friendly learning experiences,"Balancing the logistics across multiple sessions, like timing and coordination with those in attendance, sustaining financial support, and making sure activities are accessible for all those who attend. ","https://www.sph.umn.edu/research/centers/chai/policy/age-friendly-university-day/ 
https://www.youtube.com/watch?v=eMaJadbRZbA&feature=youtu.be ","53816333554_3e0c620699_q.jpg (https://v5.airtableusercontent.com/v3/u/56/56/1787680800000/JZrjGwPb3sNNH-xwYGatPA/LY16yWR6Nnk1KsFO30pzW1XmHIcGhvhWPF-zHtzqqADiDSRJO_dzhfuEXj3flA0E1g46NxEocPr2NgSClzyc3qEgjetUG2FhfyJNydGXmGRFbQ8StUhCkWwBmyIHEAaxiX_4awuq94QM4ISEorm_lXBI1CU2h-NJsZj1Mda3qbFNQeBg5WFPGBc08QXb_vH9/LDKcEAkbTpeKoqPd5O9I5DPoshF5fP7RvhttOfDc3vs),53816445340_40d163aff0_q.jpg (https://v5.airtableusercontent.com/v3/u/56/56/1787680800000/goBsq1LqojiY3NkkFdnruQ/zzLynB-eNU-V8YtSD1GttAZKSsKgFzuWSoO9B_lmdoYSO_GtJ5jQKeBfxixlLcq2Zg5x3ENTuwd22NFmNQ1YCOR32-ozLrTjY8Yczxw7HZSifDrC2SNEurciLsa_5h-Jh9mGHivuSu4_HDKt-xxms4E2kioFUvnBzlzOD92gyPO5VFUte3qQU236yQEIhQlH/W-7-xLuNRX4-VJEyVuZNjYvLtyBz-ldhowE0ZLKuap4),53815081042_8ff52154f8_q.jpg (https://v5.airtableusercontent.com/v3/u/56/56/1787680800000/YQBtPt939I640dpu-zzsZg/P3v4eHoW482_aif3roMRY7RJpi3FpX84yrzB8UEINDieyAYwlvjHlodeQVKRgTNUtdnd6qImbp03g9V8TPJ-stvNN8dZ3iB54mEm1LHAmjXNFjkd-1LT7LztMvvGEAIzXn1Xsqk-abDVEHGWfohtThmJz2VS2wJmyEVYmC046it76cZop_che3JQ9wEjCLmt/FlF46TyWnjCSHAPcqnHU4uEjDPG1HDDGVOQ1146CfPw)","Ongoing Activity (I.e., events that occur yearly, structural changes in operations))","Continued support from the University and its partners, Community engagement with the event, People willing and passionate to come speak at the event, and funding. ",University of Minnesota,Samuel Black
Age Friendly University Day 2025,"""Principle 1: To encourage the participation of older adults in all the core activities of the University, including educational and research programs."",Principle 2: To promote personal and career development in the second half of life and to support those who wish to pursue second careers.,Principle 4: To promote intergenerational learning in order to facilitate the reciprocal sharing of expertise between learners of all ages.,Principle 6: To ensure that the university’s research agenda is informed by the needs of an aging society and to promote public discourse on how higher education can better respond to the varied interests and needs of older adults.,Principle 8: To enhance access for older adults to the university’s range of health and wellness programs and its arts and cultural activities.","Community and Organizational Partners,University Faculty,Lifelong Learners,Undergraduate Students,Post-Graduate Students,Graduate Students","To highlight current research, innovation, and community partnerships in aging while fostering intergenerational engagement and dialogue ","Speakers, breakout session facilitators, event staff, volunteers, partnerships with other aging organizations, and institutional funding. ",4,"Increased collaboration across campus and community groups. Breakout sessions engaged participants in innovation, storytelling, and wellness practices. Networking opportunities strengthened relationships between older adults and university stakeholders.","Combines academic presentations with experiential activities like architectural tours, storytelling, and technology demonstrations, offering both educational and hands-on experiences. ","Managing logistics for multiple concurrent sessions, ensuring broad accessibility, and coordinating across diverse partners. ","https://www.youtube.com/watch?v=XVR4qdBv9_M 
https://www.sph.umn.edu/research/centers/chai/policy/age-friendly-university-day/#2025 ","54611498211_e4091a1a09_q.jpg (https://v5.airtableusercontent.com/v3/u/56/56/1787680800000/EucWEF84Xe6viWkptlVDdQ/PKfMHlE_3Wbf4duwhMQlqKtBIsrKVIB0_nCGtfHRS8Si7r7zKlMBZz-xebJwob6iTvv8GaeHx2M1rk8z5C8Jx3GisNjq8oxaR5nKTZsDPAHuG8YaNUpyjJ0VjJO4uklQHa2RY9k_4tABekVt-RtzgMA3NSpIyR2h_NccpFZlmR4BNpmyvOPywKvAZAXiQpok/nuVZAt2Yv1J4_fN7n-kZ5Mxfmizbskcp91hCHH1ZCFQ),54611806120_f80c47967d_q.jpg (https://v5.airtableusercontent.com/v3/u/56/56/1787680800000/tAYhkg1vaft4PEC5hIrzCQ/U2StBYukHppBT6ncNPtkr4qzvzKzNIR6w88am4ARVF1oUlHdDt2N8u9zuBXthgk8R_zfuLgmLO40Vq2ZN04KOm6K61oODhESXmQheAKfMo21vHm-A9NgByGRzOUSKD7CCXsrfvrGlzTrpAFgMcySl2HMah_WXBD4cChFtfKuROgocpgIHGJ5IHOZhkMwzeFu/08bNYvzdnmaQpxE06QxispSsFR43DYHCCZ8Od5Wmo90),54611499871_13474afe9e_q.jpg (https://v5.airtableusercontent.com/v3/u/56/56/1787680800000/ZySVBudOqDz8R9cI2eFBrw/S-z4J5ENxaxPsNV_RrlZvTvab719ksHJf6z0p5eorOFo4U9Rur8D3QZxFquxKFfHI2UxrGxnKGG76uiQUfHtzhloBmKXm9yYuHol-hPnVs-mV60DFy7cKjTIhciWL8z8C-t11z4plZ2Ffqx7KpYck0KSO1E7tl2E8uG0PBC2UIgf5H5_GzYOmSg5XSgkEszO/PY6dr654OA9zF6NfaoRFZEuK1E-WqOckw0h3HaDINX8),54610621947_bbec6f642a_q.jpg (https://v5.airtableusercontent.com/v3/u/56/56/1787680800000/Zql8gqsVMd2EGJfT8UTABA/rAUop9Xp48v_E5tQo_XIc5nyD6VlOkm-6GYoohl8kBxsqlagHEyFPwIqkeAHbE3KHE0cgycnr4qt6lbCDI5bzS6EeJNc9hxnGRVYRtGmVPWEWZKwwr9qQO_B88wR9WtyV7F7n2h5_EtEGtxQ-qA1YLlIt0znPWV053wY4CSuoCA1uWdz7fHt0wwEVzF4MkPv/uVOE5FxE4lTy4W6LMLLeCjuTGhAONqHMZsgcrpGLHcM),54611501816_e1e94051a2_q.jpg (https://v5.airtableusercontent.com/v3/u/56/56/1787680800000/i3FptLtvi_4wr-sctJ0XYQ/7eiFngtH_nCaIf-jJRwyJYeoSEra2NQD70WGihbKmkWq3YJaJIgZWQby4NLOIvoj5l2p6zaXvHA-Rw06ombqMp3aRCRuiGUNC2Xq9xEP-x8mpuQ6y4NBwd4sOp48twwuLciWmMjsxxaMV7672V98Iau5faWp_PnYBmT8izJyGHzthBFCzYbXVY_gnoVbrHAN/JXM3gUJU-r-iDW7oXI2BpWVU2KNc5pVNgq9hHupu5FE),54611504471_c9c7849f77_q.jpg (https://v5.airtableusercontent.com/v3/u/56/56/1787680800000/J3wXr2QsSiTsIJ9IouQq_A/5VFdLBq40YbaiISWZweOObCpAQiRg0AQldQ50wNQrh6vLNCeFAecpan8QL4fstaArmR6hLSfVke8T-E_3ndW7xo2IFSdTStX3ZkmUJtjtacKhOfipROrzJcu4sVU1bK0o0TqTdK4I-EBAR7lfQ83W63JYqUL95LlI-rAMLXg1mPjT9QvBnvC7JM1N7_HPlWr/I5JQzdFV_Aql7elQr4ZRS1G9V3pMxht5j9pfthVqY_c)","Ongoing Activity (I.e., events that occur yearly, structural changes in operations))","Continued support from partnerships from the University, Community Members, and Students. Funding and Volunteers",University of Minnesota,Samuel Black
Age Friendly Inventory and Campus Climate Survey (ICCS),"""Principle 1: To encourage the participation of older adults in all the core activities of the University, including educational and research programs."",Principle 6: To ensure that the university’s research agenda is informed by the needs of an aging society and to promote public discourse on how higher education can better respond to the varied interests and needs of older adults.,Principle 4: To promote intergenerational learning in order to facilitate the reciprocal sharing of expertise between learners of all ages.,Principle 3: To recognize the range of educational needs of older adults (from those who were early school-leavers through to those who wish to pursue Master’s or Ph.D. qualifications).","Undergraduate Students,Graduate Students,University Staff,University Faculty,Lifelong Learners,Community and Organizational Partners","To provide campuses with tools to evaluate age-friendly practices, perceptions of inclusivity, and areas for improvement using a systematic, campus-wide approach. ","Institutional participation in survey distribution, research staff to analyze results, technical support for Qualtrics/Excel/SPSS tools, and leadership endorsement to act on findings ",1,"Universities can identify existing age-inclusive practices and gaps. Data supports decision-making for policy, programming, and campus culture. Provides evidence-based priorities for advancing age inclusivity.","It is one of the first standardized tools that combines both an inventory of practices and a climate survey to capture perceptions, giving a full picture of age inclusivity on campus. ",Securing buy-in from faculty and administrators for wide participation. Ensuring surveys capture diverse perspectives across large campuses. Need for resources to analyze and act on results. ,"https://www.youtube.com/watch?v=Ss5ghHGw3ps&embeds_referring_euri=https%3A%2F%2Fgsaenrich.geron.org%2F&source_ve_path=OTY3MTQ  
https://gsaenrich.geron.org/age-friendly-inventory-and-campus-climate-survey-iccs ",ICCS_Webinar Manual.pdf (https://v5.airtableusercontent.com/v3/u/56/56/1787680800000/uGptvCZ16kr4T7t7fUOpzQ/5xqsuP4TJAl7RUIIQSXXOgIblH6iY0tZyRaDNaq8QlKpkIPlPUbz_jVM1s7FZ91yqlc_d1pFUVCKhVXqK2AN3ElH2Tesjhe_KS7w8XEDzjPBzD_-t_8DDm98WDoGgIIPiYaRBjAiTwqVlVrUju4nH_KgYkv6fssW_ne9Smmd1CE/Zzwy1n3mUb67KlxjLKIYZkd-iQL6qWc2_SFrv5pemdc),"One-Time Activity (I.e., pedagogical ideas, specific activities, or trips)",,University of Massachusetts Boston,Samuel Black
Musicians in Residence Program at Mirabella at ASU  ,"""Principle 1: To encourage the participation of older adults in all the core activities of the University, including educational and research programs."",Principle 4: To promote intergenerational learning in order to facilitate the reciprocal sharing of expertise between learners of all ages.,Principle 6: To ensure that the university’s research agenda is informed by the needs of an aging society and to promote public discourse on how higher education can better respond to the varied interests and needs of older adults.,Principle 8: To enhance access for older adults to the university’s range of health and wellness programs and its arts and cultural activities.","University Staff,University Faculty,Lifelong Learners,Graduate Students,Undergraduate Students","To provide an immersive, intergenerational program where students and older adults collaborate through music, dance, and creative arts, building meaningful relationships that support lifelong learning, community connection, and cultural engagement. ","Institutional support from ASU's School of Music, Dance and Theatre, Leadership from program coordinators, Collaboration with Mirabella staff, Performance and practice spaces, Funding for student scholarships, and Sustained commitment from faculty and community partners. ",4 years,"Built strong intergenerational bonds between students and older adults through weekly performances. Provided Mirabella residents with free or reduced-price access to ASU cultural events. Created opportunities for residents to join ensembles such as choral groups, guitar groups, and jazz ensembles, participating directly alongside ASU students. Earned external recognition, including the 2023 Innovation Award from Arizona Leading Age and an honorable mention in the 2022 Mather Institute Promising Practices Awards. Served as a deciding factor older adults to move into Mirabella, since the program shows ASU’s commitment to lifelong learning and community building.","This is a fully immersive intergenerational residency where ASU graduate students live at Mirabella and co-create music, dance, and arts programming with residents. The “flex engagement” model lets residents shape activities, fostering mutual benefit and strong community ties.","long-term funding and institutional support, balancing graduate students’ academic responsibilities with the program’s immersive demands. Ensuring accessibility for residents with varied levels of prior artistic or musical training and expanding programming to include diverse art forms while maintaining quality and resident engagement.",,"dance-student-resident.webp (https://v5.airtableusercontent.com/v3/u/56/56/1787680800000/wFuR1gFdCx3poPysDrtX2Q/-6Nb2TVT-n8Q-oDZS3n49rIIjbxgwzRwRDDJ52APRvqvoRxerMohNLzO7f1fGyHUj5ieni8Iv3LMk8kKrAHjtHjw67lzDEnMTuYRzV7csXL0zZXWHllnDe-eHbi5tsZWyrwnmWjAqSzoltI-6_o2z3Y0awzSPFCR-4uvFcrRt1koEEaWDYfb8QFRmE5I62vR/-DoqH57a7Tm9SCuWlNeAEFwrRPybOE9EmGlQ6Koya0k),tychiko-residents.png (https://v5.airtableusercontent.com/v3/u/56/56/1787680800000/oPKguqxJynA4csXeOa7EIw/HmN3cHC6WgednqK5mmjD5JmnIeu8FfqR53VHCAgL95aq9oUqS8AT3-tWO8r2Mw1aV-_7dzHwTgD_okKEbYJoiNLeyHXKLwuCeqCfkgl0o5eJud17_WC3kAyveQslTXn4Z6Ocr-6LD1U_fFQEgU81j7KnA2z8WyJMQnAgHPG4Xno/zvPewVVW6Nodjz_-jaIiqGmAKS77mevnzqsVu3q3Hy0),choral-group-student-pianist.png (https://v5.airtableusercontent.com/v3/u/56/56/1787680800000/gEVwYPMeYLpUDSqQH4PGuQ/VYnXQm7jiMIKQaYjROXUAlIzQa_DX3PPZ23T7ip6xSfNnoZoFbkKMjpJcNpVpFfbMinDHxQAFfRxYq4nB5Pjo0SeGHJ3BeOVMKGrYT23Lpl2BewtXJumo3S-DQuJ9FV5sTUG1G40GXcHBTqQLKqCpmKvRatmt4-_pdzbF-YdmYmTr4m6Nfkjrv26q0n6mLVR/kHSGH6g5EyOhG5Jar3XWA52sCU7qhV-SdBy4hKfnGU4),jazz-on-rooftop.webp (https://v5.airtableusercontent.com/v3/u/56/56/1787680800000/9-tekwbLgdCiCnJ_ZCVOTg/2Qb0-6-gawvx0T7QPLARadQOsTwAvH3vQjyljmWtE5o2ypMtgO-SQZWpng5ErEJ2h5JVVgNPS7rYZi14cw46ay3LjvQwuX6pUASVxG7dG9CBBcdCznpCRl1NbddYoY1_pOSBVJR5f1Q5QLKLPbDboPT2D304HZUbL6hSjOdq13M/976IAawTcqgOeKpzCeBMg-8PyMe8__iABRF4_H58bM8),first_performance_resident_christmas_concert_2022.webp (https://v5.airtableusercontent.com/v3/u/56/56/1787680800000/-P8XalVB2098LWn09stf_Q/6RHxtdgoqZbLPxXP1vzCHISbOsgWDFZtAQdgcJpaWlvlBThsh-a7IdXo9fgFxqqTlv3vcRjdz_NSk4XXTA1CelYfIBFvYWVKlIVii_o4QvnGiROtaVzcFDoTHE5hItjt6pxAyMaboRQBI7SH5oEqvPvl9JYcOE6SQigTu6Mrcx-6KfPjyD4P3nFv1ARYtj2ft6Finlmtt2Ch7LoL-6Awfw/42bQVeF9QVaAyUCYcRizv7XylSl7eafkNHpuejTl1iA)","Ongoing Activity (I.e., events that occur yearly, structural changes in operations))","Strong Relationship with ASU's School of Music, Dance and Theatre, Leaders from the program to help guide and instruct the event, Collaboration with the Mirabella staff, Participation from the campus body, and Funding to keep the event ongoing and being able to better it each year. ",Arizona State University,Samuel Black
"OLLI at Duke - ""Once: Theatre Outing","""Principle 1: To encourage the participation of older adults in all the core activities of the University, including educational and research programs."",Principle 8: To enhance access for older adults to the university’s range of health and wellness programs and its arts and cultural activities.,Principle 4: To promote intergenerational learning in order to facilitate the reciprocal sharing of expertise between learners of all ages.","University Staff,University Faculty,Lifelong Learners,Community Members,Undergraduate Students,Graduate Students","An Outing to the Tony Award-winning musical ""Once"" at Burning Coal Theatre. The purpose is to foster intergenerational engagement with the art of theatre and have collaboration within the community, bringing everyone together to enjoy a common interest in this musical. ","Partnership with the theatre, Transportation support, ticketing assistance, and event promotion",1 year,"Increased cultural participation, Socail interaction, and positive reflections on arts exposure","OLLI members attend a Tony-winning musical together alongside students from the university to create an intergenerational shared experience, blending arts appreciation with community connection in a real-world cultural setting.","Coordinating logistics, Accommodating Physical access needs, and managing the costs",https://courses.learnmore.duke.edu/search/publicCourseSectionDetails.do?method=load&courseId=17657724&sectionId=17657729 ,OIP.webp (https://v5.airtableusercontent.com/v3/u/56/56/1787680800000/9x2EqLPTVxgIlAkMSSk_Cg/6lk4M3PSXQmzFmjs782Tr6m_-awB3DmF47IyXJQ8tszali7PjAJxqQPpyFG9ZSqI15UrwRS78-d6QHOYhhJjoDCYQZl-jVFTxtR-6jfppv5sw5ELi1skqpImVNzAjQ3d3bAD20pjVos3HJ9DrHWVCA/Ddf1OP6-sEK23JLbDbZSy-QSMlupbL68ZIjTofB-Wgw),"One-Time Activity (I.e., pedagogical ideas, specific activities, or trips)",,Duke University,Samuel Black
U3A Brisbane - Annual Open Day,"""Principle 1: To encourage the participation of older adults in all the core activities of the University, including educational and research programs."",Principle 4: To promote intergenerational learning in order to facilitate the reciprocal sharing of expertise between learners of all ages.,Principle 3: To recognize the range of educational needs of older adults (from those who were early school-leavers through to those who wish to pursue Master’s or Ph.D. qualifications).","Community Members,Lifelong Learners,Community and Organizational Partners,Undergraduate Students,Graduate Students,University Staff","Showcase the breadth of U3A Brisbane’s interest groups, facilitate membership, and build community through presentations and intergenerational connections. ","Volunteer coordinators, tutors, venue setup, refreshments, promotional outreach ",5 years,"Increased membership, raised program awareness, improved access to learning opportunities, and increased involvement within the community. ","A vibrant open day where tutors present course snapshots, welcoming older adults into peer-led learning and community conversation about topics that interest them. ","Managing attendance, ensuring inclusive communication, and following up with interested attendees",https://www.u3abrisbane.com/ ,"artclass2.webp (https://v5.airtableusercontent.com/v3/u/56/56/1787680800000/nmLPXUM4MPnX0gRamdTnkQ/ERP9k-cogoOGv9m3pJInq-Q2r4A6CX8KwXv4ZXEl8ykl12maKeDz1UkOJpynMwnLH1-yH--4bUQQW_-2RAdeHA6uwSlJKvunRE7mCk3vaT6GioHycm4i4bVJk8QGyDtVxjka-VLGXTNJlUhnyTu-xg1-FVntFlnxGo7AiuU7QQI/OiER4egQVAA10zCMRlWmKjHowFITdSAzjoLBJBAFnps),download.webp (https://v5.airtableusercontent.com/v3/u/56/56/1787680800000/4l4kPC5_4YIzFs7_Q8j6tQ/PlCP_Awd98VilsmfZa7pPUG7Yc9X7s58iiQG-j9QDSW4BGWjyrfYhm27Gy1BzLxQp0127LBqVW7Ft0_RCuZAe-s2Rs1wZ6Q6S-PF8HHMAln1aw-1Zybl_ukhx0yBWWZMViRZByRdscEMLhpBzbeO0cAZNqK3byly7q0sc2AsGT8/tjtJE9VLkuzw1tvQlc8ST8GR4lTn9CTRYoCVuhyfZkQ),OIP (1).webp (https://v5.airtableusercontent.com/v3/u/56/56/1787680800000/TE4H7dtRvybgV1LNMZujAg/TY44ppEZnplLMqwdlHFo0r2MotW4ZRcKYCM1oJ4nLo-N-tVupc0TTSkkZgHpbi_6hRCGLXOfIndqfwDo3oFiapk8ItbcNzh08vsw-bIvPf0xvXTBxw6TZzD41iemM1C3ftho4b9D84gbdFx_CquLoQ/A53pEySDkvdf3MUMQ93Tc6tUoQH_efnkXtoIMjlB-zU)","One-Time Activity (I.e., pedagogical ideas, specific activities, or trips)",,University of the Third Age (U3A) Brisbane,Samuel Black
OLLI at RIT - Fall Kickoff Social Event,"""Principle 1: To encourage the participation of older adults in all the core activities of the University, including educational and research programs."",Principle 4: To promote intergenerational learning in order to facilitate the reciprocal sharing of expertise between learners of all ages.,Principle 6: To ensure that the university’s research agenda is informed by the needs of an aging society and to promote public discourse on how higher education can better respond to the varied interests and needs of older adults.,Principle 3: To recognize the range of educational needs of older adults (from those who were early school-leavers through to those who wish to pursue Master’s or Ph.D. qualifications).","University Staff,University Faculty,Community Members,Lifelong Learners,Undergraduate Students,Graduate Students","The main purpose of this event is to kick off the semester with a social event that features academic and cultural experiences. Having a way for students to connect with the older adults who are also starting the semester. A place to network, have some laughs, and meet new people who you would have never met unless you went. ","Staff and Volunteer involvement, more community outreach to spread awareness, University support, and funding",6 years,"Boosted community spirit, strong turnout, increased intergenerational connections, awareness of programming. ","A semester-launch gathering uniting older learners, campus staff, and students for community-building and shared academic experience. That brings everyone together to meet new faces before the semester starts. ","Ensuring broad engagement, accommodating accessibility, and balancing programming with other activities that are happening on campus, and getting the support and funding from the University. ",https://www.rit.edu/osher/events/osher-social-event-fall-kick-picnic-1 ,"OIP (2).webp (https://v5.airtableusercontent.com/v3/u/56/56/1787680800000/SNAmBl9Fq7G1TnfrFTm_Cw/23hpNpMlKq74KxDX27ykKC6ujHIHhF9a1Sbh-wNtcFGmxfdFXukk5adXztCylOAIehsv9_Lf8WvdC-QIKKaqB4mrkW6iJL70r6HDMywLrJFpQfJSuqLJGCHUzSHJx5PbhP53J9XHDYMpaRkmsB8B9g/fRzYapWLHWdcep0gdRKrcDbh-Wm9uAgOf2NxodLnQR8),651e1fbdc94f9.image.jpg (https://v5.airtableusercontent.com/v3/u/56/56/1787680800000/SE2XnKQ9VGxXu3dB5UjwZQ/bHZmsd_pHPtK_cXOey6WKtZvCVntLvktoypIitOfIa3Qe10DzLgiRcBCDozZZr4upz4xKirzcjewBCgxt6HDIgXAoCEXgqiQPi7PRGS0YZjfNEK7SfAhRzEvIN-gvtBY6pIxOZ8luAT2bMDDCKtcRITkQZTTgA_WmUEmDjY9JUI/pRPS2TF60koPbwNlCWYrIEp6dNxePQ49d2XlyS7i810)","Ongoing Activity (I.e., events that occur yearly, structural changes in operations))","A venue to hold the event in each year, volunteers willing to come out and support the event, and funding to keep the event ongoing every year. ",Rochester Institute of Technology (RIT),Samuel Black
